time_iso8601,stargazers_cumulative_snapshot
2026-08-26 13:36:37+00:00,2
2026-08-29 04:02:36+00:00,3
2026-08-30 01:08:11+00:00,4
2026-08-31 01:08:12+00:00,5
2026-09-05 00:39:23+00:00,6
2026-09-07 00:44:52+00:00,7
2026-09-08 00:57:45+00:00,18
2026-09-09 01:04:51+00:00,24
2026-09-10 00:53:11+00:00,35
2026-09-11 00:51:27+00:00,39
2026-09-12 00:56:40+00:00,41
2026-09-13 00:39:32+00:00,42
2026-09-15 01:13:33+00:00,43
2026-09-16 01:09:04+00:00,44
2026-09-18 01:05:18+00:00,46
2026-09-19 01:00:40+00:00,81
2026-09-20 00:44:43+00:00,90
2026-09-21 00:53:19+00:00,103
2026-09-22 01:28:29+00:00,111
2026-09-23 01:17:56+00:00,127
2026-09-24 01:10:05+00:00,133
2026-09-25 01:11:36+00:00,134
2026-09-26 01:14:13+00:00,135
