time_iso8601,stars_cumulative
2026-07-23 00:00:00+00:00,1
2026-08-24 00:00:00+00:00,2
2026-08-28 00:00:00+00:00,3
2026-08-29 00:00:00+00:00,4
2026-08-30 00:00:00+00:00,5
2026-09-04 00:00:00+00:00,6
2026-09-06 00:00:00+00:00,7
2026-09-07 00:00:00+00:00,18
2026-09-08 00:00:00+00:00,24
2026-09-09 00:00:00+00:00,35
2026-09-10 00:00:00+00:00,39
2026-09-11 00:00:00+00:00,41
2026-09-14 00:00:00+00:00,42
2026-09-15 00:00:00+00:00,43
2026-09-17 00:00:00+00:00,44
2026-09-18 00:00:00+00:00,80
2026-09-19 00:00:00+00:00,89
2026-09-20 00:00:00+00:00,103
2026-09-21 00:00:00+00:00,111
2026-09-22 00:00:00+00:00,127
2026-09-23 00:00:00+00:00,131
2026-09-24 00:00:00+00:00,134
2026-09-25 00:00:00+00:00,135
2026-09-26 00:00:00+00:00,135
